bill_id,act_number
68237,773-20
67882,1240-20
68242,1759-20
67894,462-20
67904,497-20
67911,477-20
67922,498-20
68771,702-20
71652,1613-20
67931,486-20
67932,487-20
68741,570-20
67939,484-20
69441,1274-20
67943,500-20
70478,1196-20
67949,642-20
68962,616-20
67962,620-20
68623,615-20
67991,566-20
68013,679-20
68781,597-20
68033,485-20
68310,520-20
68874,610-20
68992,638-20
69047,666-20
69052,682-20
69146,687-20
69163,710-20
69190,721-20
69212,735-20
69295,741-20
69384,743-20
68324,525-20
69461,754-20
69477,767-20
69568,803-20
68408,529-20
68499,538-20
68660,564-20
68729,569-20
68773,586-20
68826,589-20
68860,626-20
68036,521-20
69709,930-20
69961,914-20
69711,971-20
69712,972-20
69714,1212-20
70114,986-20
69199,1245-20
68745,630-20
69025,761-20
68059,1089-20
68646,700-20
70499,1011-20
68056,522-20
69985,916-20
69346,878-20
69731,950-20
68903,999-20
68088,511-20
69741,1258-20
69747,1016-20
70377,947-20
69751,946-20
70118,1058-20
68109,1319-20
70120,1059-20
69026,901-20
69760,828-20
69821,863-20
70555,1010-20
70591,1048-20
70600,1068-20
70663,1076-20
70677,1084-20
70721,1122-20
70894,1129-20
70934,1144-20
70961,1152-20
69916,881-20
69942,882-20
70069,923-20
70095,929-20
70209,936-20
70301,938-20
70326,955-20
70439,1003-20
71223,1275-20
69765,883-20
68122,1256-20
69880,983-20
68132,821-20
68146,571-20
68159,1026-20
69787,837-20
69331,1150-20
69332,866-20
70083,1265-20
71875,1680-20
71033,1264-20
68204,905-20
69233,834-20
68208,512-20
68209,513-20
68211,831-20
68951,734-20
68943,1760-20
68225,1025-20
68985,675-20
70132,1479-20
68260,1219-20
68580,557-20
68733,575-20
70691,1101-20
68689,788-20
68285,526-20
68293,1171-20
68798,664-20
68294,514-20
68305,515-20
68307,517-20
68306,518-20
68308,519-20
68309,516-20
68316,1021-20
69960,899-20
68333,528-20
68334,527-20
68337,641-20
68721,705-20
70244,1151-20
68802,627-20
69385,763-20
68861,606-20
68921,1865-20
68966,1255-20
68392,534-20
68397,530-20
68402,533-20
68398,535-20
68406,537-20
68405,536-20
68410,674-20
68425,706-20
69125,1172-20
68444,659-20
68452,548-20
68473,539-20
69039,722-20
68490,541-20
68479,540-20
68481,558-20
68508,542-20
68482,543-20
68483,544-20
68570,553-20
68521,547-20
68486,545-20
68488,546-20
68574,924-20
68496,704-20
68497,549-20
68498,550-20
68504,985-20
68836,879-20
68523,691-20
68765,602-20
68525,781-20
68527,875-20
68817,774-20
68785,632-20
68550,720-20
68810,601-20
68554,1206-20
68922,718-20
68557,609-20
68556,555-20
68562,728-20
68830,604-20
68724,591-20
68740,572-20
68800,665-20
69116,898-20
70446,1190-20
68605,729-20
69027,650-20
68607,730-20
69015,651-20
68613,685-20
68862,598-20
68835,605-20
70346,1592-20
68833,696-20
68619,568-20
68687,1701-20
70651,1221-20
68625,2655-20
68923,649-20
70977,1396-20
70978,1257-20
69113,876-20
68641,954-20
68757,588-20
68643,692-20
68812,607-20
68649,587-20
69131,1055-20
68652,731-20
68873,596-20
68653,574-20
68678,678-20
68879,614-20
68680,576-20
68681,647-20
68682,653-20
68684,1518-20
70270,1049-20
70560,1180-20
68717,673-20
69422,840-20
68746,1750-20
71189,1321-20
68753,1141-20
68755,593-20
68760,852-20
68761,733-20
69018,648-20
68775,2077-20
68778,639-20
68779,1502-20
69444,981-20
68806,676-20
68825,732-20
68832,1965-20
70506,1324-20
68834,2073-20
69238,842-20
68837,1660-20
69432,845-20
68838,1661-20
69434,846-20
68847,805-20
69021,672-20
68848,1030-20
68996,760-20
69142,771-20
71028,1205-20
69087,713-20
69891,869-20
68859,1183-20
69969,1012-20
68865,1520-20
69094,782-20
69742,1246-20
68877,1875-20
69328,796-20
72159,1639-20
72242,1553-20
68883,726-20
69063,684-20
68884,677-20
68885,633-20
68886,652-20
69691,1507-20
68911,1259-20
69431,836-20
68912,1758-20
69923,1014-20
68917,640-20
68927,1311-20
68956,910-20
69093,787-20
